,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
695,single,1st phase - general contingent,1,Management,daytime,Secondary education,143.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",152.1,1,0,1,1,male,0,18,0,0,5,15,4,13.333333333333334,0,0,5,6,2,13.5,0,13.9,-0.3,0.79,Dropout
696,married,1st phase - general contingent,1,Social Service (evening attendance),evening,Secondary education,165.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Student,Student,162.9,1,0,0,1,male,0,45,0,0,6,7,6,13.666666666666666,0,0,6,6,6,13.666666666666666,0,7.6,2.6,0.32,Non-Dropout
697,single,1st phase - general contingent,1,Tourism,daytime,Secondary education,154.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year,Specialists in Intellectual and Scientific Activities,Legislative/Executive/Directors,137.2,0,0,0,1,male,0,20,0,0,6,12,3,10.0,0,0,6,9,5,10.8,0,15.5,2.8,-4.06,Non-Dropout
698,single,Technological specialization diploma holders,1,Agronomy,daytime,Technological specialization course,140.0,Portuguese,Secondary Education - 12th Year,Basic Education 2nd Cycle,Unskilled Workers,Legislative/Executive/Directors,140.0,1,0,0,1,male,0,22,0,0,6,12,5,12.6,0,0,6,11,6,11.714285714285714,0,12.4,0.5,1.79,Non-Dropout
699,single,Change of course,1,Informatics Engineering,daytime,Secondary education,140.0,Portuguese,Basic education 1st cycle,Basic Education 2nd Cycle,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",146.5,0,0,0,1,male,0,39,0,0,5,10,3,17.333333333333332,0,0,5,11,1,17.0,0,13.9,-0.3,0.79,Dropout
700,single,Technological specialization diploma holders,1,Veterinary Nursing,daytime,Technological specialization course,130.0,Portuguese,Higher Education - Bachelor's,Higher Education - Bachelor's,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",130.0,0,0,0,0,male,0,20,0,2,6,10,5,13.2,0,1,6,21,3,12.0,0,12.4,0.5,1.79,Non-Dropout
701,married,Over 23 years old,1,Management,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle,Basic Education 3rd Cycle,Unskilled Workers,Intermediate Level Technicians and Professions,128.0,0,0,0,1,male,0,49,0,0,5,9,3,14.0,0,0,5,8,3,13.666666666666666,0,8.9,1.4,3.51,Dropout
702,single,Holders of other higher courses,1,Oral Hygiene,daytime,Higher education - master's,190.0,Portuguese,Higher Education - Doctorate,Higher Education - Doctorate,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,190.0,1,0,0,1,male,0,43,0,4,4,4,4,13.875,0,1,1,1,1,12.5,0,11.1,0.6,2.02,Dropout
703,married,Over 23 years old,1,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,133.2,1,0,0,1,male,0,32,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
704,single,Over 23 years old,1,Social Service,daytime,Other - 11th year of schooling,100.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,124.3,0,0,0,1,male,0,47,0,3,9,9,9,13.11111111111111,0,3,7,7,7,14.857142857142858,0,10.8,1.4,1.74,Non-Dropout
705,facto union,Over 23 years old,1,Management (evening attendance),evening,Secondary education,120.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,138.1,0,0,0,1,male,1,37,0,0,5,8,5,13.0,0,0,5,11,4,13.333333333333334,2,16.2,0.3,-0.92,Dropout
706,married,Over 23 years old,1,Social Service (evening attendance),evening,Secondary education,133.1,Portuguese,Basic Education 3rd Cycle,Secondary Education - 12th Year,Administrative staff,Installation and Machine Operators and Assembly Workers,144.3,0,0,0,1,male,0,41,0,6,10,10,10,12.5,0,3,7,7,7,12.142857142857142,0,10.8,1.4,1.74,Non-Dropout
707,married,Over 23 years old,1,Agronomy,daytime,Secondary education,150.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",140.0,0,0,0,1,male,0,60,0,17,18,18,18,14.11111111111111,0,11,13,13,13,14.23076923076923,0,15.5,2.8,-4.06,Non-Dropout
708,married,Over 23 years old,1,Tourism,daytime,Secondary education,120.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Unskilled Workers,Unskilled Workers,148.3,0,0,0,1,male,0,47,0,6,11,11,11,14.727272727272728,0,6,9,9,9,15.77777777777778,0,10.8,1.4,1.74,Non-Dropout
709,single,Over 23 years old,1,Social Service (evening attendance),evening,Secondary education,133.1,Portuguese,Basic education 1st cycle,7th Year (Old),Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",96.0,0,0,1,0,male,0,50,0,0,6,6,0,0.0,0,0,5,6,0,0.0,0,12.4,0.5,1.79,Dropout
710,married,Over 23 years old,1,Management (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,Other Situation,Other Situation,121.7,1,0,0,1,male,0,45,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
711,single,Over 23 years old,1,Informatics Engineering,daytime,Secondary education,100.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Installation and Machine Operators and Assembly Workers,160.0,0,0,1,0,male,0,45,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
712,married,Over 23 years old,1,Veterinary Nursing,daytime,Secondary education,133.1,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Other Situation,Other Situation,110.3,0,0,0,1,male,0,33,0,0,5,7,4,13.5,0,0,5,6,5,11.6,0,7.6,2.6,0.32,Non-Dropout
713,single,1st phase - general contingent,1,Nursing,daytime,Secondary education,143.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,129.0,0,0,0,1,male,0,18,0,0,8,8,7,13.105714285714283,0,0,8,8,7,13.105714285714283,0,10.8,1.4,1.74,Non-Dropout
714,married,Over 23 years old,1,Veterinary Nursing,daytime,Secondary education,120.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",150.0,0,0,0,1,male,0,43,0,0,5,8,5,13.5,2,0,5,5,5,14.4,0,9.4,-0.8,-3.12,Non-Dropout
715,single,Change of course,1,Social Service (evening attendance),evening,Secondary education,161.0,Portuguese,Basic Education 3rd Cycle,Basic education 1st cycle,Administrative staff,Armed Forces Professions,100.0,0,0,0,1,male,0,44,0,9,13,18,13,11.846153846153848,0,9,11,11,11,12.0,0,12.7,3.7,-1.7,Non-Dropout
716,single,Over 23 years old,1,Equinculture,daytime,12th year of schooling - not completed,133.1,Portuguese,Unknown,Can read (no 4th year),Student,Other Situation,107.5,0,0,0,1,male,0,29,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
717,divorced,Over 23 years old,1,Advertising and Marketing Management,daytime,Secondary education,140.0,Portuguese,Higher Education - Bachelor's,Secondary Education - 12th Year,Intermediate Level Technicians and Professions,Unskilled Workers,170.0,0,0,1,0,male,0,53,0,0,6,11,3,14.333333333333334,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Dropout
718,married,Transfer,1,Management (evening attendance),evening,Frequency of higher education,123.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,123.0,0,0,0,1,male,0,37,0,0,5,10,5,15.8,0,0,5,5,5,17.6,0,9.4,-0.8,-3.12,Non-Dropout
719,single,Change of course,1,Advertising and Marketing Management,daytime,Secondary education,142.0,Portuguese,Basic Education 2nd Cycle,Secondary Education - 12th Year,Installation and Machine Operators and Assembly Workers,Armed Forces Professions,138.5,1,0,0,1,male,0,18,0,0,6,16,5,13.8,0,0,6,7,5,12.4,0,13.9,-0.3,0.79,Non-Dropout
720,single,Change of course,1,Biofuel Production Technologies,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,Administrative staff,Administrative staff,140.0,0,0,1,1,male,0,35,0,3,10,18,6,12.666666666666666,0,1,9,11,3,12.0,2,16.2,0.3,-0.92,Dropout
721,single,1st phase - general contingent,1,Tourism,daytime,Secondary education,115.0,Portuguese,Basic Education 3rd Cycle,Secondary Education - 12th Year,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",113.6,0,0,0,1,male,0,23,0,0,6,10,6,13.0,0,0,6,9,6,12.0,0,11.1,0.6,2.02,Non-Dropout
722,single,1st phase - general contingent,1,Animation and Multimedia Design,daytime,Secondary education,156.0,Portuguese,Basic Education 3rd Cycle,Basic Education 2nd Cycle,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",170.0,1,0,0,1,male,0,22,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Non-Dropout
723,single,Over 23 years old,1,Social Service (evening attendance),evening,Secondary education,140.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Other Situation,"Personal Services, Security and Safety Workers and Sellers",115.5,0,0,0,0,male,0,33,0,0,6,6,1,11.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
724,single,Holders of other higher courses,3,Equinculture,daytime,Higher education - degree,130.0,Portuguese,Basic education 1st cycle,7th year of schooling,Other Situation,Armed Forces Professions,130.0,0,0,0,0,male,0,41,0,0,5,9,0,0.0,4,0,5,9,0,0.0,3,10.8,1.4,1.74,Dropout
725,divorced,Holders of other higher courses,1,Nursing,daytime,Higher education - degree,140.0,Portuguese,Basic education 1st cycle,Basic Education 2nd Cycle,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",140.0,0,0,0,1,male,0,51,0,4,7,7,7,15.2,0,6,8,8,8,16.575,0,13.9,-0.3,0.79,Non-Dropout
726,single,Change of institution/course,1,Advertising and Marketing Management,daytime,Secondary education,140.0,Portuguese,Other - 11th Year,Higher Education - Doctorate,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,126.6,0,0,0,1,male,0,19,0,2,6,7,6,14.428571428571429,0,1,7,8,7,14.375,0,11.1,0.6,2.02,Non-Dropout
727,single,Over 23 years old,1,Management (evening attendance),evening,Secondary education,133.1,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,143.2,0,0,0,1,male,0,35,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Dropout
728,single,1st phase - general contingent,2,Animation and Multimedia Design,daytime,Secondary education,131.0,Brazilian,Basic Education 3rd Cycle,Secondary Education - 12th Year,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",131.4,1,0,0,1,male,0,20,1,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Non-Dropout
729,single,Change of course,1,Advertising and Marketing Management,daytime,Secondary education,141.0,Portuguese,Higher Education - Degree,Higher Education - Bachelor's,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,133.3,1,0,0,1,male,0,18,0,0,6,13,4,13.75,0,0,6,8,5,11.2,0,13.9,-0.3,0.79,Non-Dropout
730,single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary education,120.0,Portuguese,Basic Education 3rd Cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,118.3,0,0,1,0,male,1,18,0,0,6,11,5,12.166666666666666,0,0,6,15,3,12.0,0,13.9,-0.3,0.79,Dropout
731,single,Technological specialization diploma holders,1,Agronomy,daytime,Technological specialization course,140.0,Portuguese,Higher Education - Bachelor's,Secondary Education - 12th Year,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",140.0,0,0,0,1,male,0,21,0,0,6,12,5,12.142857142857142,0,0,6,11,5,11.666666666666666,0,13.9,-0.3,0.79,Non-Dropout
732,single,1st phase - general contingent,1,Tourism,daytime,Secondary education,132.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",124.7,1,0,0,1,male,0,21,0,0,6,9,6,12.0,0,0,6,8,5,11.6,0,13.9,-0.3,0.79,Non-Dropout
733,married,Over 23 years old,2,Management,daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle,Basic education 1st cycle,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",140.0,0,0,0,1,male,0,34,0,0,5,10,3,11.666666666666666,1,0,5,7,4,12.75,0,9.4,-0.8,-3.12,Non-Dropout
734,divorced,Over 23 years old,1,Equinculture,daytime,Secondary education,140.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Skilled Workers in Industry, Construction and Craftsmen",150.0,1,0,0,1,male,0,34,0,0,6,9,0,0.0,0,0,6,6,0,0.0,0,16.2,0.3,-0.92,Dropout
735,single,2nd phase - general contingent,2,Advertising and Marketing Management,daytime,Secondary education,110.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Administrative staff,Armed Forces Professions,115.6,1,0,0,1,male,0,21,0,0,6,10,6,11.875,0,0,6,8,5,12.0,0,11.1,0.6,2.02,Non-Dropout
736,single,Change of course,1,Journalism and Communication,daytime,Secondary education,140.0,Portuguese,Higher Education - Degree,Basic education 1st cycle,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",116.9,0,0,0,1,male,0,32,0,6,11,15,7,11.285714285714286,0,5,7,10,6,12.333333333333334,0,13.9,-0.3,0.79,Non-Dropout
737,single,2nd phase - general contingent,2,Tourism,daytime,Secondary education,130.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",123.4,1,0,0,1,male,0,30,0,0,6,17,2,10.0,0,0,6,15,3,11.333333333333334,0,7.6,2.6,0.32,Dropout
738,single,1st phase - general contingent,1,Animation and Multimedia Design,daytime,Secondary education,137.0,Portuguese,Secondary Education - 12th Year,Higher Education - Degree,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",146.5,1,0,1,1,male,0,19,0,6,12,13,11,12.0,0,4,11,15,10,11.181818181818182,0,8.9,1.4,3.51,Non-Dropout
739,single,Change of institution/course,1,Journalism and Communication,daytime,Secondary education,158.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Installation and Machine Operators and Assembly Workers,Installation and Machine Operators and Assembly Workers,117.1,1,0,0,1,male,0,20,0,1,7,7,6,13.833333333333334,0,1,6,7,5,13.0,0,8.9,1.4,3.51,Dropout
740,single,1st phase - general contingent,1,Communication Design,daytime,Secondary education,124.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",113.9,1,0,0,1,male,0,18,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout
741,single,1st phase - general contingent,1,Tourism,daytime,Secondary education,136.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,128.7,0,0,0,1,male,0,19,0,0,6,7,6,14.428571428571429,0,0,6,6,6,12.5,0,8.9,1.4,3.51,Non-Dropout
742,single,2nd phase - general contingent,3,Nursing,daytime,Secondary education,142.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,132.9,1,0,0,1,male,0,18,0,0,7,8,5,14.2,0,0,7,9,6,12.4,0,12.4,0.5,1.79,Dropout
743,single,Over 23 years old,1,Management (evening attendance),evening,Secondary education,150.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Administrative staff,Installation and Machine Operators and Assembly Workers,123.0,0,0,0,1,male,0,27,0,0,5,8,4,11.5,0,0,5,9,3,10.333333333333334,0,12.7,3.7,-1.7,Dropout
744,single,Over 23 years old,1,Journalism and Communication,daytime,Other - 11th year of schooling,120.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Unskilled Workers,Unskilled Workers,129.8,1,0,0,1,male,0,52,0,0,6,7,5,13.0,0,0,6,6,6,15.0,0,9.4,-0.8,-3.12,Non-Dropout
745,married,Change of course,1,Agronomy,daytime,Secondary education,149.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",156.1,1,0,0,0,male,0,29,0,0,6,6,0,0.0,0,0,6,8,0,0.0,0,15.5,2.8,-4.06,Dropout
746,single,Change of institution/course,1,Agronomy,daytime,Technological specialization course,130.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Administrative staff,Administrative staff,120.0,1,0,1,0,male,0,22,0,0,6,12,3,11.333333333333334,0,0,6,13,2,11.0,0,8.9,1.4,3.51,Dropout
747,single,Change of course,1,Veterinary Nursing,daytime,Secondary education,110.0,Mozambican,Basic Education 2nd Cycle,Basic Education 2nd Cycle,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",117.2,1,0,0,1,male,0,28,1,13,18,45,18,12.5,12,10,13,26,12,11.428571428571429,6,15.5,2.8,-4.06,Non-Dropout
748,single,Over 23 years old,1,Advertising and Marketing Management,daytime,Frequency of higher education,133.1,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Other Situation,Intermediate Level Technicians and Professions,107.0,1,0,0,1,male,0,30,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
749,single,1st phase - general contingent,2,Nursing,daytime,Secondary education,134.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,128.4,1,0,0,1,female,0,18,0,0,7,7,7,13.471428571428572,0,0,8,9,8,13.944444444444445,0,16.2,0.3,-0.92,Non-Dropout
750,single,1st phase - general contingent,2,Advertising and Marketing Management,daytime,Secondary education,130.0,Portuguese,Basic Education 2nd Cycle,Basic education 1st cycle,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",123.4,1,0,0,1,female,0,21,0,0,5,5,4,11.75,0,0,5,5,3,13.333333333333334,0,9.4,-0.8,-3.12,Non-Dropout
751,single,1st phase - general contingent,1,Communication Design,daytime,Secondary education,141.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,126.7,1,0,1,1,female,1,20,0,0,6,9,6,13.333333333333334,0,0,6,10,6,14.666666666666666,0,12.7,3.7,-1.7,Non-Dropout
752,single,Transfer,1,Nursing,daytime,Secondary education,123.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,123.0,1,0,0,1,female,1,21,0,0,8,8,8,13.105,0,0,8,8,8,13.105,0,9.4,-0.8,-3.12,Non-Dropout
753,married,Over 23 years old,1,Management (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 3rd Cycle,Basic education 1st cycle,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,137.2,0,0,1,0,female,0,32,0,0,5,5,0,0.0,0,0,5,6,0,0.0,0,10.8,1.4,1.74,Dropout
754,single,1st phase - general contingent,3,Communication Design,daytime,Secondary education,122.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,125.9,1,0,0,1,male,1,20,0,0,6,6,6,15.5,0,0,6,7,6,12.166666666666666,0,12.4,0.5,1.79,Non-Dropout
755,single,1st phase - general contingent,4,Animation and Multimedia Design,daytime,Secondary education,132.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",138.0,1,0,1,0,male,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
756,single,International student (bachelor),1,Advertising and Marketing Management,daytime,Secondary education,133.1,Brazilian,Secondary Education - 12th Year,Secondary Education - 12th Year,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",128.2,0,0,1,0,male,0,18,1,0,6,6,4,11.25,0,0,6,7,3,12.333333333333334,0,8.9,1.4,3.51,Dropout
757,single,Change of course,1,Management (evening attendance),evening,Secondary education,130.0,Portuguese,Basic education 1st cycle,Higher Education - Bachelor's,Unskilled Workers,Administrative staff,126.5,1,0,0,0,male,0,23,0,10,15,24,12,11.0,0,10,14,21,11,11.363636363636363,1,7.6,2.6,0.32,Dropout
758,single,1st phase - general contingent,1,Tourism,daytime,Secondary education,111.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,112.4,1,0,0,1,male,0,20,0,0,6,10,6,12.333333333333334,0,0,6,9,4,13.0,0,12.4,0.5,1.79,Non-Dropout
759,married,Change of course,2,Management,daytime,Secondary education,133.1,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,109.0,1,0,0,1,female,0,46,0,4,9,18,8,11.375,2,0,5,11,5,11.8,0,9.4,-0.8,-3.12,Non-Dropout
760,single,2nd phase - general contingent,1,Agronomy,daytime,Secondary education,125.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,100.0,0,0,0,1,male,0,27,0,16,18,19,18,12.22222222222222,0,9,12,15,12,12.384615384615383,0,15.5,2.8,-4.06,Non-Dropout
761,single,1st phase - special contingent (Azores Island),1,Animation and Multimedia Design,daytime,Secondary education,137.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle,Legislative/Executive/Directors,Armed Forces Professions,144.7,1,0,0,1,male,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Non-Dropout
762,married,Change of course,3,Social Service (evening attendance),evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,100.0,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,Unskilled Workers,120.0,1,0,0,1,male,0,41,0,5,9,11,9,12.0,0,3,7,8,6,12.0,0,9.4,-0.8,-3.12,Non-Dropout
763,single,International student (bachelor),1,Management,daytime,Secondary education,133.1,Angolan,Secondary Education - 12th Year,Higher Education - Degree,"Unskilled workers in agriculture, animal production, fisheries and forestry",Intermediate Level Technicians and Professions,100.0,0,0,1,1,male,0,40,1,0,5,10,1,11.0,0,0,5,10,1,10.0,0,11.1,0.6,2.02,Non-Dropout
764,married,Technological specialization diploma holders,1,Social Service (evening attendance),evening,Technological specialization course,150.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",154.0,0,0,0,1,male,0,37,0,12,16,17,16,14.125,0,6,11,14,10,13.0,0,12.4,0.5,1.79,Non-Dropout
765,single,1st phase - general contingent,4,Management,daytime,Secondary education,120.0,Portuguese,Basic Education 2nd Cycle,Basic Education 2nd Cycle,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,111.3,0,0,0,1,male,0,20,0,0,5,8,5,10.2,0,0,5,7,5,11.2,0,12.4,0.5,1.79,Non-Dropout
766,single,Technological specialization diploma holders,1,Equinculture,daytime,Technological specialization course,150.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Administrative staff,Administrative staff,150.0,1,0,0,1,female,0,20,0,0,5,7,4,12.0,1,0,5,6,4,12.4,0,10.8,1.4,1.74,Non-Dropout
767,single,Holders of other higher courses,1,Management (evening attendance),evening,Higher education - degree (1st cycle),133.1,Portuguese,Secondary Education - 12th Year,Basic education 1st cycle,Administrative staff,Legislative/Executive/Directors,100.0,0,0,0,1,female,0,26,0,8,9,11,9,12.333333333333334,0,4,7,7,7,12.571428571428571,0,12.4,0.5,1.79,Non-Dropout
768,married,Over 23 years old,1,Social Service (evening attendance),evening,Secondary education,133.1,Portuguese,Basic education 1st cycle,Basic education 1st cycle,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",162.5,0,0,0,1,male,0,54,0,4,9,9,9,14.333333333333334,0,2,7,7,7,13.857142857142858,0,8.9,1.4,3.51,Non-Dropout
769,single,2nd phase - general contingent,5,Advertising and Marketing Management,daytime,Secondary education,132.0,Portuguese,Basic Education 3rd Cycle,Basic Education 3rd Cycle,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",134.1,1,0,0,1,male,0,21,0,0,6,6,6,15.166666666666666,0,0,6,9,6,14.0,0,10.8,1.4,1.74,Non-Dropout
770,single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary education,134.0,Portuguese,Secondary Education - 12th Year,Secondary Education - 12th Year,Unskilled Workers,Unskilled Workers,133.0,1,0,0,1,female,1,20,0,0,6,8,6,15.142857142857142,0,0,6,8,6,15.142857142857142,0,11.1,0.6,2.02,Non-Dropout
771,single,2nd phase - general contingent,6,Journalism and Communication,daytime,Secondary education,126.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",119.0,1,0,0,1,female,0,18,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout
772,single,1st phase - general contingent,3,Nursing,daytime,Secondary education,136.0,Portuguese,Secondary Education - 12th Year,Basic Education 3rd Cycle,Administrative staff,Unskilled Workers,131.1,1,0,0,1,female,0,19,0,0,7,9,6,13.411428571428573,0,0,8,12,7,13.294444444444444,0,15.5,2.8,-4.06,Non-Dropout
773,single,1st phase - general contingent,2,Social Service,daytime,Secondary education,129.0,Portuguese,Basic Education 2nd Cycle,Secondary Education - 12th Year,Administrative staff,Armed Forces Professions,129.4,1,0,0,1,female,0,18,0,0,6,7,6,12.333333333333334,0,0,6,7,6,12.166666666666666,0,9.4,-0.8,-3.12,Non-Dropout
774,single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary education,126.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year,Specialists in Intellectual and Scientific Activities,Installation and Machine Operators and Assembly Workers,123.9,1,0,0,1,female,0,19,0,0,6,13,4,11.8,0,0,6,18,4,12.2,0,12.4,0.5,1.79,Non-Dropout
